Words,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Love
advantage,1,0,0,0,0,0,0,0,0,0,0
advantageous,1,0,0,0,0,0,0,0,0,0,0
advent,1,0,0,1,0,0,1,0,0,1,0
adventure,1,0,0,1,0,0,0,0,0,0,0
adventurous,1,0,0,0,0,0,0,0,0,0,0
adversary,0,1,1,0,0,0,0,0,0,0,0
adverse,0,1,1,0,1,1,0,1,0,0,0
adversity,0,1,1,0,0,1,0,1,0,0,0
advice,0,0,0,0,0,0,0,0,0,1,0
advisable,1,0,0,0,0,0,0,0,0,1,0
advise,1,0,0,0,0,0,0,0,0,1,0
advised,0,0,0,0,0,0,0,0,0,1,0
adviser,1,0,0,0,0,0,0,0,0,1,0
advocacy,1,0,1,1,0,0,1,0,0,1,0
advocate,0,0,0,0,0,0,0,0,0,1,0
aesthetic,1,0,0,0,0,0,0,0,0,0,0
aesthetics,1,0,0,0,0,0,1,0,0,0,0
affable,1,0,0,0,0,0,0,0,0,0,0
affection,1,0,0,0,0,0,1,0,0,1,1
affiliated,1,0,0,0,0,0,0,0,0,0,0
affirm,1,0,0,0,0,0,0,0,0,1,0
affirmation,1,0,0,0,0,0,0,0,0,0,0
affirmative,1,0,0,0,0,0,0,0,0,0,0
affirmatively,1,0,0,0,0,0,0,0,0,1,0
afflict,0,1,0,0,0,1,0,1,0,0,0
afflicted,0,1,0,0,0,0,0,0,0,0,0
affliction,0,1,0,0,1,1,0,1,0,0,0
affluence,1,0,0,0,0,0,1,0,0,0,0
affluent,1,0,0,0,0,0,0,0,0,0,0
afford,1,0,0,0,0,0,0,0,0,0,0
affront,0,1,1,0,1,1,0,1,1,0,0
afraid,0,1,0,0,0,1,0,0,0,0,0
aftermath,0,1,1,0,1,1,0,1,0,0,0
aftertaste,0,1,0,0,0,0,0,0,0,0,0
aga,1,0,0,0,0,1,0,0,0,1,0
aggravated,0,1,1,0,0,0,0,0,0,0,0
aggravating,0,1,1,0,0,0,0,1,0,0,0
aggravation,0,1,1,0,1,0,0,0,0,0,0
aggression,0,1,1,0,0,1,0,0,0,0,0
aggressive,0,1,1,0,0,1,0,0,0,0,0
aggressor,0,1,1,0,0,1,0,0,0,0,0
aghast,0,1,0,0,1,1,0,0,1,0,0
agile,1,0,0,0,0,0,0,0,0,0,0
agility,1,0,0,0,0,0,0,0,0,0,0
agitated,0,1,1,0,0,0,0,0,0,0,0
agitation,0,1,1,0,0,0,0,0,0,0,0
agonizing,0,1,0,0,0,1,0,0,0,0,0
agony,0,1,1,0,0,1,0,1,0,0,0
agree,1,0,0,0,0,0,0,0,0,0,0
agreeable,1,0,0,0,0,0,0,0,0,1,0
agreed,1,0,0,0,0,0,0,0,0,1,0
agreeing,1,0,0,0,0,0,0,0,0,1,0
agreement,1,0,0,0,0,0,0,0,0,1,0
agriculture,1,0,0,0,0,0,0,0,0,0,0
aground,0,1,0,0,0,0,0,0,0,0,0
ahead,1,0,0,0,0,0,0,0,0,0,0
aid,1,0,0,0,0,0,0,0,0,0,0
aiding,1,0,0,0,0,0,0,0,0,0,0
ail,0,1,0,0,0,0,0,1,0,0,0
ailing,0,1,0,0,0,1,0,1,0,0,0
aimless,0,1,0,0,0,0,0,0,0,0,0
airport,0,0,0,1,0,0,0,0,0,0,0
airs,0,1,0,0,1,0,0,0,0,0,0
akin,0,0,0,0,0,0,0,0,0,1,0
alabaster,1,0,0,0,0,0,0,0,0,0,0
alarm,0,1,0,0,0,1,0,0,1,0,0
alarming,0,1,0,0,0,1,0,0,1,0,0
alb,0,0,0,0,0,0,0,0,0,1,0
alcoholism,0,1,1,0,1,1,0,1,0,0,0
alertness,1,0,0,1,0,1,0,0,1,0,0
alerts,0,0,0,1,0,1,0,0,1,0,0
alien,0,1,0,0,1,1,0,0,0,0,0
alienate,0,1,1,0,1,0,0,0,0,0,0
alienated,0,1,0,0,0,0,0,1,0,0,0
alienation,0,1,1,0,1,1,0,1,0,0,0
alimentation,1,0,0,0,0,0,0,0,0,0,0
alimony,0,1,0,0,0,0,0,0,0,0,0
alive,1,0,0,1,0,0,1,0,0,1,0
allay,1,0,0,0,0,0,0,0,0,0,0
allegation,0,1,1,0,0,0,0,0,0,0,0
allege,0,1,0,0,0,0,0,0,0,0,0
allegiance,1,0,0,0,0,0,0,0,0,1,0
allegro,1,0,0,0,0,0,0,0,0,0,0
alleviate,1,0,0,0,0,0,0,0,0,0,0
alleviation,1,0,0,0,0,0,0,0,0,0,0
alliance,0,0,0,0,0,0,0,0,0,1,0
allied,1,0,0,0,0,0,0,0,0,1,0
allowable,1,0,0,0,0,0,0,0,0,0,0
allure,1,0,0,1,0,0,1,0,1,0,0
alluring,1,0,0,0,0,0,0,0,0,0,0
ally,1,0,0,0,0,0,0,0,0,1,0
almighty,1,0,0,0,0,0,0,0,0,0,0
aloha,1,0,0,1,0,0,1,0,0,0,0
aloof,0,1,0,0,0,0,0,0,0,0,0
altercation,0,1,1,0,0,0,0,0,0,0,0
amaze,0,0,0,0,0,0,0,0,1,0,0
amazingly,1,0,0,0,0,0,1,0,1,0,0
ambassador,1,0,0,0,0,0,0,0,0,1,0
ambiguous,0,1,0,0,0,0,0,0,0,0,0
ambition,1,0,0,1,0,0,1,0,0,1,0
ambulance,0,0,0,0,0,1,0,0,0,1,0
ambush,0,1,1,0,0,1,0,0,1,0,0
ameliorate,1,0,0,0,0,0,0,0,0,0,0
amen,1,0,0,0,0,0,1,0,0,1,0
amenable,1,0,0,0,0,0,0,0,0,0,0
amend,1,0,0,0,0,0,0,0,0,0,0
amends,1,0,0,0,0,0,0,0,0,0,0
amenity,1,0,0,0,0,0,0,0,0,0,0
amiable,1,0,0,0,0,0,0,0,0,0,0
amicable,1,0,0,0,0,0,1,0,0,0,0
ammonia,0,0,0,0,1,0,0,0,0,0,0
amnesia,0,1,0,0,0,0,0,0,0,0,0
amnesty,1,0,0,0,0,0,1,0,0,0,0
amortization,0,0,0,0,0,0,0,0,0,1,0
amour,1,0,0,1,0,0,1,0,0,1,1
amphetamines,0,1,0,0,1,0,0,0,0,0,0
amuse,1,0,0,0,0,0,1,0,0,0,0
amused,1,0,0,0,0,0,1,0,0,0,0
amusement,1,0,0,0,0,0,1,0,0,0,0
amusing,1,0,0,0,0,0,1,0,0,0,0
anaconda,0,1,0,0,1,1,0,0,0,0,0
anal,0,1,0,0,0,0,0,0,0,0,0
analyst,1,0,0,1,0,0,0,0,0,1,0
anarchism,0,1,1,0,0,1,0,0,0,0,0
anarchist,0,1,1,0,0,1,0,0,0,0,0
anarchy,0,1,1,0,0,1,0,0,0,0,0
anathema,0,1,1,0,1,1,0,1,0,0,0
ancestral,0,0,0,0,0,0,0,0,0,1,0
anchor,1,0,0,0,0,0,0,0,0,0,0
anchorage,1,0,0,0,0,0,0,1,0,0,0
ancient,0,1,0,0,0,0,0,0,0,0,0
angel,1,0,0,1,0,0,1,0,1,1,1
angelic,1,0,0,0,0,0,1,0,0,1,0
anger,0,1,1,0,0,0,0,0,0,0,0
angina,0,1,0,0,0,1,0,0,0,0,0
angling,0,1,0,1,0,0,0,0,0,0,0
angry,0,1,1,0,1,0,0,0,0,0,0
anguish,0,1,1,0,0,1,0,1,0,0,0
animate,1,0,0,0,0,0,0,0,0,0,0
animated,1,0,0,0,0,0,1,0,0,0,0
animosity,0,1,1,0,1,1,0,1,0,0,0
animus,0,1,1,0,0,0,0,0,0,0,0
annihilate,0,1,1,0,0,1,0,0,0,0,0
annihilated,0,1,1,0,0,1,0,1,0,0,0
annihilation,0,1,1,0,0,1,0,1,0,0,0
announcement,0,0,0,1,0,0,0,0,0,0,0
annoy,0,1,1,0,1,0,0,0,0,0,0
annoyance,0,1,1,0,1,0,0,0,0,0,0
annoying,0,1,1,0,0,0,0,0,0,0,0
annul,0,1,0,0,0,0,0,0,0,0,0
annulment,0,1,0,0,0,0,0,1,0,0,0
anomaly,0,1,0,0,0,1,0,0,1,0,0
anonymous,0,1,0,0,0,0,0,0,0,0,0
answerable,0,0,0,0,0,0,0,0,0,1,0
antagonism,0,1,1,0,0,0,0,0,0,0,0
antagonist,0,1,1,0,0,0,0,0,0,0,0
antagonistic,0,1,1,0,1,0,0,0,0,0,0
anthrax,0,1,0,0,1,1,0,1,0,0,0
antibiotics,1,0,0,0,0,0,0,0,0,0,0
antichrist,0,1,1,0,1,1,0,0,0,0,0
anticipation,0,0,0,1,0,0,0,0,0,0,0
anticipatory,0,0,0,1,0,0,0,0,0,0,0
antidote,1,0,0,1,0,0,0,0,0,1,0
antifungal,1,0,0,0,0,0,0,0,0,1,0
antipathy,0,1,1,0,1,0,0,0,0,0,0
antiquated,0,1,0,0,0,0,0,0,0,0,0
antique,1,0,0,0,0,0,0,0,0,0,0
antiseptic,1,0,0,0,0,0,0,0,0,1,0
antisocial,0,1,1,0,1,1,0,1,0,0,0
antithesis,0,1,1,0,0,0,0,0,0,0,0
anxiety,0,1,1,1,0,1,0,1,0,0,0
anxious,0,1,0,1,0,1,0,0,0,0,0
apache,0,1,0,0,0,1,0,0,0,0,0
apathetic,0,1,0,0,0,0,0,1,0,0,0
apathy,0,1,0,0,0,0,0,1,0,0,0
aphid,0,1,0,0,1,0,0,0,0,0,0
aplomb,1,0,0,0,0,0,0,0,0,0,0
apologetic,1,0,0,0,0,0,0,0,0,1,0
apologize,1,0,0,0,0,0,0,1,0,1,0
apology,1,0,0,0,0,0,0,0,0,0,0
apostle,1,0,0,0,0,0,0,0,0,1,0
apostolic,0,0,0,0,0,0,0,0,0,1,0
appalling,0,1,0,0,1,1,0,0,0,0,0
apparition,0,0,0,0,0,1,0,0,1,0,0
appeal,0,0,0,1,0,0,0,0,0,0,0
appendicitis,0,1,0,0,0,1,0,1,0,0,0
applause,1,0,0,0,0,0,1,0,1,1,0
applicant,0,0,0,1,0,0,0,0,0,0,0
appreciation,1,0,0,0,0,0,1,0,0,1,0
apprehend,0,0,0,0,0,1,0,0,0,0,0
apprehension,0,1,0,0,0,1,0,0,0,0,0
apprehensive,0,1,0,1,0,1,0,0,0,0,0
apprentice,0,0,0,0,0,0,0,0,0,1,0
approaching,0,0,0,1,0,0,0,0,0,0,0
approbation,1,0,0,0,0,0,0,0,0,1,0
appropriation,0,1,0,0,0,0,0,0,0,0,0
approval,1,0,0,0,0,0,0,0,0,0,0
approve,1,0,0,0,0,0,1,0,0,1,0
approving,1,0,0,0,0,0,0,0,0,0,0
apt,1,0,0,0,0,0,0,0,0,0,0
aptitude,1,0,0,0,0,0,0,0,0,0,0
arbiter,0,0,0,0,0,0,0,0,0,1,0
arbitration,0,0,0,1,0,0,0,0,0,0,0
arbitrator,0,0,0,0,0,0,0,0,0,1,0
archaeology,1,0,0,1,0,0,0,0,0,0,0
archaic,0,1,0,0,0,0,0,0,0,0,0
architecture,0,0,0,0,0,0,0,0,0,1,0
ardent,1,0,0,1,0,0,1,0,0,0,0
ardor,1,0,0,0,0,0,0,0,0,0,0
arduous,0,1,0,0,0,0,0,0,0,0,0
argue,0,1,1,0,0,0,0,0,0,0,0
argument,0,1,1,0,0,0,0,0,0,0,0
argumentation,0,0,1,0,0,0,0,0,0,0,0
argumentative,0,1,0,0,0,0,0,0,0,0,0
arguments,0,0,1,0,0,0,0,0,0,0,0
arid,0,1,0,0,0,0,0,1,0,0,0
aristocracy,1,0,0,0,0,0,0,0,0,0,0
aristocratic,1,0,0,0,0,0,0,0,0,0,0
armament,0,0,1,0,0,1,0,0,0,0,0
armaments,0,1,0,0,0,1,0,0,0,0,0
armed,1,1,1,0,0,1,0,0,0,0,0
armor,1,0,0,0,0,1,0,0,0,1,0
armored,0,0,0,0,0,1,0,0,0,0,0
armory,0,0,0,0,0,0,0,0,0,1,0
aroma,1,0,0,0,0,0,0,0,0,0,0
arouse,1,0,0,1,0,0,0,0,0,0,0
arraignment,0,1,1,0,0,1,0,1,0,0,0
array,1,0,0,0,0,0,0,0,0,0,0
arrears,0,1,0,0,0,0,0,0,0,0,0
arrest,0,1,0,0,0,0,0,0,0,0,0
arrival,0,0,0,1,0,0,0,0,0,0,0
arrive,0,0,0,1,0,0,0,0,0,0,0
arrogance,0,1,0,0,0,0,0,0,0,0,0
arrogant,0,1,1,0,1,0,0,0,0,0,0
arsenic,0,1,0,0,1,1,0,1,0,0,0
arson,0,1,1,0,0,1,0,0,0,0,0
art,1,0,0,1,0,0,1,1,1,0,0
articulate,1,0,0,0,0,0,0,0,0,0,0
articulation,1,0,0,0,0,0,0,0,0,0,0
artillery,0,1,0,0,0,1,0,0,0,0,0
artisan,1,0,0,0,0,0,0,0,0,0,0
artiste,1,0,0,0,0,0,0,0,0,0,0
artistic,1,0,0,0,0,0,0,0,0,0,0
ascendancy,1,0,0,0,0,0,0,0,0,0,0
ascent,1,0,0,0,0,0,0,0,0,0,0
ash,0,1,0,0,0,0,0,0,0,0,0
ashamed,0,1,0,0,1,0,0,1,0,0,0
ashes,0,1,0,0,0,0,0,1,0,0,0
asp,0,0,0,0,0,1,0,0,0,0,0
aspiration,1,0,0,1,0,0,1,0,1,1,0
aspire,1,0,0,1,0,0,1,0,0,0,0
aspiring,1,0,0,1,0,0,1,0,0,1,0
ass,0,1,0,0,0,0,0,0,0,0,0
assail,0,1,1,0,0,1,0,0,1,0,0
assailant,0,1,1,0,0,1,0,1,0,0,0
assassin,0,1,1,0,0,1,0,1,0,0,0
assassinate,0,1,1,0,0,1,0,0,0,0,0
assassination,0,1,1,0,0,1,0,1,0,0,0
assault,0,1,1,0,0,1,0,0,0,0,0
assembly,1,0,0,0,0,0,0,0,0,1,0
assent,1,0,0,0,0,0,0,0,0,0,0
asserting,1,0,0,0,0,0,0,0,0,1,0
assessment,0,0,0,0,0,0,0,0,1,1,0
assessor,0,0,0,0,0,0,0,0,0,1,0
assets,1,0,0,0,0,0,0,0,0,0,0
asshole,0,1,1,0,1,0,0,0,0,0,0
assignee,0,0,0,0,0,0,0,0,0,1,0
assist,1,0,0,0,0,0,0,0,0,1,0
assistance,1,0,0,0,0,0,0,0,0,0,0
associate,1,0,0,0,0,0,0,0,0,1,0
association,0,0,0,0,0,0,0,0,0,1,0
assuage,1,0,0,0,0,0,0,0,0,0,0
assurance,1,0,0,0,0,0,0,0,0,1,0
assure,0,0,0,0,0,0,0,0,0,1,0
assured,1,0,0,0,0,0,0,0,0,1,0
assuredly,0,0,0,0,0,0,0,0,0,1,0
astonishingly,1,0,0,0,0,0,0,0,1,0,0
astonishment,1,0,0,0,0,0,1,0,1,0,0
astray,0,1,0,0,0,1,0,0,0,0,0
astringent,0,1,0,0,0,0,0,0,0,0,0
astrologer,1,0,0,1,0,0,0,0,0,0,0
astronaut,1,0,0,0,0,0,0,0,0,0,0
astronomer,1,0,0,1,0,0,0,0,0,0,0
astute,1,0,0,0,0,0,0,0,0,0,0
asylum,0,1,0,0,0,1,0,0,0,0,0
asymmetry,0,0,0,0,1,0,0,0,0,0,0
atheism,0,1,0,0,0,0,0,0,0,0,0
atherosclerosis,0,1,0,0,0,1,0,1,0,0,0
athlete,1,0,0,0,0,0,0,0,0,0,0
athletic,1,0,0,0,0,0,0,0,0,0,0
atom,1,0,0,0,0,0,0,0,0,0,0
atone,1,0,0,1,0,0,1,0,0,1,0
atonement,1,0,0,0,0,0,0,0,0,0,0
atrocious,0,1,1,0,1,0,0,0,0,0,0
atrocity,0,1,1,0,1,1,0,1,0,0,0
atrophy,0,1,0,0,1,1,0,1,0,0,0
attachment,1,0,0,0,0,0,0,0,0,0,0
attack,0,1,1,0,0,1,0,0,0,0,0
attacking,0,1,1,0,1,1,0,1,1,0,0
attainable,1,0,0,1,0,0,0,0,0,0,0
attainment,1,0,0,0,0,0,0,0,0,0,0
attempt,0,0,0,1,0,0,0,0,0,0,0
attendance,0,0,0,1,0,0,0,0,0,0,0
attendant,1,0,0,0,0,0,0,0,0,1,0
attention,1,0,0,0,0,0,0,0,0,0,0
attentive,1,0,0,0,0,0,0,0,0,1,0
attenuated,0,1,0,0,0,0,0,0,0,0,0
attenuation,0,1,0,0,0,0,0,1,0,0,0
attest,1,0,0,0,0,0,0,0,0,1,0
attestation,0,0,0,0,0,0,0,0,0,1,0
attorney,1,0,1,0,0,1,0,0,0,1,0
attraction,1,0,0,0,0,0,0,0,0,0,0
attractiveness,1,0,0,0,0,0,0,0,0,0,0
auction,0,0,0,1,0,0,0,0,0,0,0
audacity,0,1,0,0,0,0,0,0,0,0,0
audience,0,0,0,1,0,0,0,0,0,0,0
auditor,0,0,0,0,0,1,0,0,0,1,0
augment,1,0,0,0,0,0,0,0,0,0,0
august,1,0,0,0,0,0,0,0,0,0,0
aunt,1,0,0,0,0,0,0,0,0,1,0
aura,1,0,0,0,0,0,0,0,0,0,0
auspicious,1,0,0,1,0,0,1,0,0,0,0
austere,0,1,0,0,0,1,0,1,0,0,0
austerity,0,1,0,0,0,0,0,0,0,0,0
authentic,1,0,0,0,0,0,1,0,0,1,0
authenticate,0,0,0,0,0,0,0,0,0,1,0
authentication,0,0,0,0,0,0,0,0,0,1,0
authenticity,1,0,0,0,0,0,0,0,0,1,0
author,1,0,0,0,0,0,0,0,0,1,0
authoritative,1,0,0,0,0,0,0,0,0,1,0
authority,1,0,0,0,0,0,0,0,0,1,0
authorization,1,0,0,0,0,0,0,0,0,1,0
authorize,0,0,0,0,0,0,0,0,0,1,0
authorized,1,0,0,0,0,0,0,0,0,0,0
autocratic,0,1,0,0,0,0,0,0,0,0,0
automatic,0,0,0,0,0,0,0,0,0,1,0
autopsy,0,1,0,0,1,1,0,1,0,0,0
avalanche,0,1,0,0,0,1,0,1,1,0,0
avarice,0,1,1,0,1,0,0,0,0,0,0
avatar,1,0,0,0,0,0,0,0,0,0,0
avenger,0,1,1,0,0,0,0,0,0,0,0
averse,0,1,1,0,1,1,0,0,0,0,0
aversion,0,1,1,0,1,1,0,0,0,0,0
avoid,0,1,0,0,0,1,0,0,0,0,0
avoidance,0,1,0,0,0,1,0,0,0,0,0
avoiding,0,0,0,0,0,1,0,0,0,0,0
await,0,0,0,1,0,0,0,0,0,0,0
award,1,0,0,1,0,0,1,0,1,1,0
awful,0,1,1,0,1,1,0,1,0,0,0
awkwardness,0,1,0,0,1,0,0,0,0,0,0
awry,0,1,0,0,0,0,0,0,0,0,0
axiom,0,0,0,0,0,0,0,0,0,1,0
axiomatic,0,0,0,0,0,0,0,0,0,1,0
ay,1,0,0,0,0,0,0,0,0,0,0
aye,1,0,0,0,0,0,0,0,0,0,0
babe,1,0,0,1,0,0,1,0,0,0,1
babble,0,1,0,0,0,0,0,0,0,0,0
babbling,0,1,0,0,0,0,0,0,0,0,0
baboon,0,1,0,0,1,0,0,0,0,0,0
baby,1,0,0,0,0,0,1,0,0,0,1
babysitter,0,0,0,0,0,0,0,0,0,1,0
baccalaureate,1,0,0,0,0,0,0,0,0,0,0
backbone,1,0,1,0,0,0,0,0,0,1,0
backer,0,0,0,0,0,0,0,0,0,1,0
backward,0,1,0,0,0,0,0,0,0,0,0
backwards,0,1,0,0,1,0,0,0,0,0,0
backwater,0,1,0,0,0,0,0,1,0,0,0
bacteria,0,1,0,0,1,1,0,1,0,0,0
bacterium,0,1,0,0,1,1,0,0,0,0,0
bad,0,1,1,0,1,1,0,1,0,0,0
badge,0,0,0,0,0,0,0,0,0,1,0
badger,0,1,1,0,0,0,0,0,0,0,0
badly,0,1,0,0,0,0,0,1,0,0,0
badness,0,1,1,0,1,1,0,0,0,0,0
bailiff,0,1,0,0,0,1,0,0,0,1,0
bait,0,1,0,0,0,1,0,0,0,1,0
balance,1,0,0,0,0,0,0,0,0,0,0
balanced,1,0,0,0,0,0,0,0,0,0,0
bale,0,1,0,0,0,1,0,0,0,0,0
balk,0,1,0,0,0,0,0,0,0,0,0
ballad,1,0,0,0,0,0,0,0,0,0,0
ballet,1,0,0,0,0,0,0,0,0,0,0
ballot,1,0,0,1,0,0,0,0,0,1,0
balm,1,1,0,1,0,0,1,0,0,0,0
balsam,1,0,0,0,0,0,0,0,0,0,0
ban,0,1,0,0,0,0,0,0,0,0,0
bandit,0,1,0,0,0,0,0,0,0,0,0
bane,0,1,1,0,1,1,0,0,0,0,0
bang,0,1,1,0,1,1,0,1,1,0,0
banger,0,1,1,1,0,1,0,0,1,0,0
banish,0,1,1,0,1,1,0,1,0,0,0
banished,0,1,1,0,0,1,0,1,0,0,0
banishment,0,1,1,0,1,0,0,1,0,0,0
bank,0,0,0,0,0,0,0,0,0,1,0
banker,0,0,0,0,0,0,0,0,0,1,0
bankrupt,0,1,0,0,0,1,0,1,0,0,0
bankruptcy,0,1,1,0,1,1,0,1,0,0,0
banquet,1,0,0,1,0,0,1,0,0,0,0
banshee,0,1,1,0,1,1,0,1,0,0,0
baptism,1,0,0,0,0,0,0,0,0,0,0
baptismal,1,0,0,0,0,0,1,0,0,0,0
barb,0,1,1,0,0,0,0,0,0,0,0
barbarian,0,1,0,0,0,1,0,0,0,0,0
barbaric,0,1,1,0,1,1,0,0,0,0,0
barbarism,0,1,0,0,0,0,0,0,0,0,0
bard,1,0,0,0,0,0,0,0,0,0,0
barf,0,0,0,0,1,0,0,0,0,0,0
bargain,1,0,0,0,0,0,0,0,0,1,0
bark,0,1,1,0,0,0,0,0,0,0,0
barred,0,1,0,0,0,0,0,0,0,0,0
barren,0,1,0,0,0,0,0,1,0,0,0
barricade,0,1,0,0,0,1,0,0,0,0,0
barrier,0,1,1,0,0,0,0,0,0,0,0
barrow,0,0,0,0,1,0,0,0,0,0,0
bartender,0,0,0,0,0,0,0,0,0,1,0
barter,0,0,0,0,0,0,0,0,0,1,0
base,0,0,0,0,0,0,0,0,0,1,0
baseless,0,1,0,0,0,0,0,0,0,0,0
