title,artist,year,duration,dominant,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Swang,Rae Sremmurd,2017,208,Anticipation,25,14,12,23,4,17,17,11,15,19
Passionfruit,Drake,2017,298,Anger,5,14,8,7,6,2,4,1,1,6
Loyalty.,Kendrick Lamar Featuring Rihanna,2017,228,Trust,59,20,11,12,11,34,17,15,16,53
Praying,Kesha,2017,230,Trust,21,10,4,15,3,7,15,5,10,18
Goosebumps,Travis Scott,2017,243,Anticipation,21,18,3,18,1,11,5,8,0,5
Cold,Maroon 5 Featuring Future,2017,235,Anticipation,12,32,0,8,0,1,5,4,5,4
Broccoli,D.R.A.M. Featuring Lil Yachty,2017,226,Disgust,21,30,18,7,19,9,11,7,8,9
Slide,Calvin Harris Featuring Frank Ocean & Migos,2017,231,Trust,18,13,7,5,11,4,10,6,4,13
What Ifs,Kane Brown Featuring Lauren Alaina,2017,189,Joy,19,12,3,9,5,6,14,7,8,4
Chained To The Rhythm,Katy Perry Featuring Skip Marley,2017,237,Joy,43,28,6,6,9,5,24,3,2,24
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",2017,223,Fear,29,38,12,16,4,26,16,8,22,14
All Time Low,Jon Bellion,2017,217,Anger,10,21,21,5,21,6,5,15,6,2
Hurricane,Luke Combs,2017,222,Anger,11,22,11,11,3,11,10,4,6,8
Too Good At Goodbyes,Sam Smith,2017,265,Anticipation,21,24,5,25,3,7,20,19,22,14
Young Dumb & Broke,Khalid,2017,248,Surprise,47,32,2,42,1,1,47,2,59,8
Magnolia,Playboi Carti,2017,182,Fear,26,28,31,17,17,32,12,13,9,11
Love Galore,SZA Featuring Travis Scott,2017,275,Joy,39,23,6,9,6,9,37,9,4,6
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,2017,209,Anger,12,24,18,11,15,17,1,14,0,10
Starving,Hailee Steinfeld & Grey Featuring Zedd,2017,182,Anger,4,6,6,1,3,6,0,2,3,0
Both,Gucci Mane Featuring Drake,2017,190,Surprise,9,9,4,2,2,2,3,1,6,3
What About Us,P!nk,2017,269,Anticipation,11,7,6,21,5,5,11,6,8,8
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,2017,217,Trust,15,17,8,7,8,7,8,6,4,9
Slippery,Migos Featuring Gucci Mane,2017,304,Fear,26,64,23,24,20,34,9,19,30,13
Sign Of The Times,Harry Styles,2017,340,Anticipation,17,9,0,11,0,0,8,7,5,8
Water Under The Bridge,Adele,2017,241,Joy,13,12,3,3,1,6,12,3,0,0
Malibu,Miley Cyrus,2017,228,Anticipation,14,2,2,8,1,6,8,5,4,6
Down,Marian Hill,2017,198,Joy,7,3,1,3,2,2,5,2,1,3
No Promises,Cheat Codes Featuring Demi Lovato,2017,223,Joy,36,7,2,0,1,0,29,6,2,19
Treat You Better,Shawn Mendes,2017,188,Anticipation,16,17,10,14,13,6,10,10,6,14
I Get The Bag,Gucci Mane Featuring Migos,2017,233,Trust,58,30,20,23,8,19,28,15,7,32
Small Town Boy,Dustin Lynch,2017,205,Disgust,19,35,8,1,15,12,14,10,2,3
Everyday We Lit,YFN Lucci Featuring PnB Rock,2017,197,Anger,18,19,15,7,15,10,6,8,8,13
Havana,Camila Cabello Featuring Young Thug,2017,218,Anticipation,4,5,2,3,1,0,3,1,1,1
What Lovers Do,Maroon 5 Featuring SZA,2017,200,Joy,51,4,1,19,1,0,51,0,13,18
Do Re Mi,blackbear,2017,213,Fear,14,9,8,8,5,13,11,8,7,10
Look At Me!,XXXTENTACION,2017,128,Anger,35,15,15,1,11,12,4,10,0,3
The Fighter,Keith Urban Featuring Carrie Underwood,2017,183,Sadness,24,37,12,5,9,13,22,37,2,8
